,Postcode,Borough,Neighbourhood
0, , ,Canadian postal codes
1,Agincourt ,M1S ,Scarborough
2,"Alderwood, Long Branch ",M8W ,Etobicoke
3,"Bathurst Manor, Wilson Heights, Downsview North ",M3H ,North York
4,Bayview Village ,M2K ,North York
5,"Bedford Park, Lawrence Manor East ",M5M ,North York
6,Berczy Park ,M5E ,Downtown Toronto
7,"Birch Cliff, Cliffside West ",M1N ,Scarborough
8,"Brockton, Parkdale Village, Exhibition Place ",M6K ,West Toronto
9,"Business reply mail Processing Centre, South Central Letter Processing Plant Toronto ",M7Y ,East Toronto
10,"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport ",M5V ,Downtown Toronto
11,Caledonia-Fairbanks ,M6E ,York
12,Canada Post Gateway Processing Centre ,M7R ,Mississauga
13,Cedarbrae ,M1H ,Scarborough
14,Central Bay Street ,M5G ,Downtown Toronto
15,Christie ,M6G ,Downtown Toronto
16,Church and Wellesley ,M4Y ,Downtown Toronto
17,"Clarks Corners, Tam O'Shanter, Sullivan ",M1T ,Scarborough
18,"Cliffside, Cliffcrest, Scarborough Village West ",M1M ,Scarborough
19,"Commerce Court, Victoria Hotel ",M5L ,Downtown Toronto
20,Davisville ,M4S ,Central Toronto
21,Davisville North ,M4P ,Central Toronto
22,"Del Ray, Mount Dennis, Keelsdale and Silverthorn ",M6M ,York
23,Don Mills ,M3B ,North York
24,Don Mills ,M3C ,North York
25,"Dorset Park, Wexford Heights, Scarborough Town Centre ",M1P ,Scarborough
26,Downsview ,M3K ,North York
27,Downsview ,M3L ,North York
28,Downsview ,M3M ,North York
29,Downsview ,M3N ,North York
30,"Dufferin, Dovercourt Village ",M6H ,West Toronto
31,"East Toronto, Broadview North (Old East York) ",M4J ,East York
32,"Eringate, Bloordale Gardens, Old Burnhamthorpe, Markland Wood ",M9C ,Etobicoke
33,"Fairview, Henry Farm, Oriole ",M2J ,North York
34,"First Canadian Place, Underground city ",M5X ,Downtown Toronto
35,"Forest Hill North & West, Forest Hill Road Park ",M5P ,Central Toronto
36,"Garden District, Ryerson ",M5B ,Downtown Toronto
37,Glencairn ,M6B ,North York
38,"Golden Mile, Clairlea, Oakridge ",M1L ,Scarborough
39,"Guildwood, Morningside, West Hill ",M1E ,Scarborough
40,"Harbourfront East, Union Station, Toronto Islands ",M5J ,Downtown Toronto
41,"High Park, The Junction South ",M6P ,West Toronto
42,Hillcrest Village ,M2H ,North York
43,Humber Summit ,M9L ,North York
44,"Humberlea, Emery ",M9M ,North York
45,Humewood-Cedarvale ,M6C ,York
46,"India Bazaar, The Beaches West ",M4L ,East Toronto
47,"Islington Avenue, Humber Valley Village ",M9A ,Etobicoke
48,"Kennedy Park, Ionview, East Birchmount Park ",M1K ,Scarborough
49,"Kensington Market, Chinatown, Grange Park ",M5T ,Downtown Toronto
50,"Kingsview Village, St. Phillips, Martin Grove Gardens, Richview Gardens ",M9R ,Etobicoke
51,"Lawrence Manor, Lawrence Heights ",M6A ,North York
52,Lawrence Park ,M4N ,Central Toronto
53,Leaside ,M4G ,East York
54,"Little Portugal, Trinity ",M6J ,West Toronto
55,"Malvern, Rouge ",M1B ,Scarborough
56,"Milliken, Agincourt North, Steeles East, L'Amoreaux East ",M1V ,Scarborough
57,"Mimico NW, The Queensway West, South of Bloor, Kingsway Park South West, Royal York South West ",M8Z ,Etobicoke
58,"Moore Park, Summerhill East ",M4T ,Central Toronto
59,"New Toronto, Mimico South, Humber Bay Shores ",M8V ,Etobicoke
60,"North Park, Maple Leaf Park, Upwood Park ",M6L ,North York
61,"North Toronto West,  Lawrence Park ",M4R ,Central Toronto
62,"Northwest, West Humber - Clairville ",M9W ,Etobicoke
63,"Northwood Park, York University ",M3J ,North York
64,Not assigned ,M1A ,M1A 
65,Not assigned ,M1Y ,M1Y 
66,Not assigned ,M1Z ,M1Z 
67,Not assigned ,M2A ,M2A 
68,Not assigned ,M2B ,M2B 
69,Not assigned ,M2C ,M2C 
70,Not assigned ,M2E ,M2E 
71,Not assigned ,M2G ,M2G 
72,Not assigned ,M2S ,M2S 
73,Not assigned ,M2T ,M2T 
74,Not assigned ,M2V ,M2V 
75,Not assigned ,M2W ,M2W 
76,Not assigned ,M2X ,M2X 
77,Not assigned ,M2Y ,M2Y 
78,Not assigned ,M2Z ,M2Z 
79,Not assigned ,M3E ,M3E 
80,Not assigned ,M3G ,M3G 
81,Not assigned ,M3P ,M3P 
82,Not assigned ,M3R ,M3R 
83,Not assigned ,M3S ,M3S 
84,Not assigned ,M3T ,M3T 
85,Not assigned ,M3V ,M3V 
86,Not assigned ,M3W ,M3W 
87,Not assigned ,M3X ,M3X 
88,Not assigned ,M3Y ,M3Y 
89,Not assigned ,M3Z ,M3Z 
90,Not assigned ,M4Z ,M4Z 
91,Not assigned ,M5Y ,M5Y 
92,Not assigned ,M5Z ,M5Z 
93,Not assigned ,M6T ,M6T 
94,Not assigned ,M6V ,M6V 
95,Not assigned ,M6W ,M6W 
96,Not assigned ,M6X ,M6X 
97,Not assigned ,M6Y ,M6Y 
98,Not assigned ,M6Z ,M6Z 
99,Not assigned ,M7B ,M7B 
100,Not assigned ,M7C ,M7C 
101,Not assigned ,M7E ,M7E 
102,Not assigned ,M7G ,M7G 
103,Not assigned ,M7H ,M7H 
104,Not assigned ,M7J ,M7J 
105,Not assigned ,M7K ,M7K 
106,Not assigned ,M7L ,M7L 
107,Not assigned ,M7M ,M7M 
108,Not assigned ,M7N ,M7N 
109,Not assigned ,M7P ,M7P 
110,Not assigned ,M7S ,M7S 
111,Not assigned ,M7T ,M7T 
112,Not assigned ,M7V ,M7V 
113,Not assigned ,M7W ,M7W 
114,Not assigned ,M7X ,M7X 
115,Not assigned ,M7Z ,M7Z 
116,Not assigned ,M8A ,M8A 
117,Not assigned ,M8B ,M8B 
118,Not assigned ,M8C ,M8C 
119,Not assigned ,M8E ,M8E 
120,Not assigned ,M8G ,M8G 
121,Not assigned ,M8H ,M8H 
122,Not assigned ,M8J ,M8J 
123,Not assigned ,M8K ,M8K 
124,Not assigned ,M8L ,M8L 
125,Not assigned ,M8M ,M8M 
126,Not assigned ,M8N ,M8N 
127,Not assigned ,M8P ,M8P 
128,Not assigned ,M8R ,M8R 
129,Not assigned ,M8S ,M8S 
130,Not assigned ,M8T ,M8T 
131,Not assigned ,M9E ,M9E 
132,Not assigned ,M9G ,M9G 
133,Not assigned ,M9H ,M9H 
134,Not assigned ,M9J ,M9J 
135,Not assigned ,M9K ,M9K 
136,Not assigned ,M9S ,M9S 
137,Not assigned ,M9T ,M9T 
138,Not assigned ,M9X ,M9X 
139,Not assigned ,M9Y ,M9Y 
140,Not assigned ,M9Z ,M9Z 
141,"Old Mill South, King's Mill Park, Sunnylea, Humber Bay, Mimico NE, The Queensway East, Royal York South East, Kingsway Park South East ",M8Y ,Etobicoke
142,"Parkdale, Roncesvalles ",M6R ,West Toronto
143,"Parkview Hill, Woodbine Gardens ",M4B ,East York
144,Parkwoods ,M3A ,North York
145,"Queen's Park, Ontario Provincial Government ",M7A ,Downtown Toronto
146,"Regent Park, Harbourfront ",M5A ,Downtown Toronto
147,"Richmond, Adelaide, King ",M5H ,Downtown Toronto
148,Rosedale ,M4W ,Downtown Toronto
149,Roselawn ,M5N ,Central Toronto
150,"Rouge Hill, Port Union, Highland Creek ",M1C ,Scarborough
151,"Runnymede, Swansea ",M6S ,West Toronto
152,"Runnymede, The Junction North ",M6N ,York
153,Scarborough Village ,M1J ,Scarborough
154,"South Steeles, Silverstone, Humbergate, Jamestown, Mount Olive, Beaumond Heights, Thistletown, Albion Gardens ",M9V ,Etobicoke
155,St. James Town ,M5C ,Downtown Toronto
156,"St. James Town, Cabbagetown ",M4X ,Downtown Toronto
157,"Steeles West, L'Amoreaux West ",M1W ,Scarborough
158,Stn A PO Boxes ,M5W ,Downtown Toronto
159,Studio District ,M4M ,East Toronto
160,"Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park ",M4V ,Central Toronto
161,"The Annex, North Midtown, Yorkville ",M5R ,Central Toronto
162,The Beaches ,M4E ,East Toronto
163,"The Danforth West, Riverdale ",M4K ,East Toronto
